id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4951096257154257,Nlrfju19f,6453351502,陪小源走花路吧,#花西子得力#得力顶流,,,,花西子 得力,0,0,0,2023-09-28 23:59,vivo手机,,,
4951096071291568,Nlrf15pZK,5470827393,睡醒不起床zzz,其实我买过49还是42的无印低重心自动铅笔，一年半就坏了……不过小学买的晨光倒是现在都能用。不管怎么样得力大发花西子难财都只能说是花西子活该咯。还好我也没买过花西子,,,,,0,0,0,2023-09-28 23:59,iPhone客户端,,,
4950979764290708,Nlodqi0cY,6336556296,花西子Florasis,#我有一个梦想#为国货之崛起而奋斗！祝大家双节快乐！——国货助梦大使花西子,,,,我有一个梦想,3743,9110,61165,2023-09-28 16:17,微博网页版,['https://wx1.sinaimg.cn/large/006UPxKUly1hicd8rd73ij33js3jsnlh.jpg'],,
4951095909028209,NlreKBSEh,6364598947,夹心狗多多,来咯//@花西子Florasis:#我有一个梦想#花西子现征集大家喜爱的国货品牌，在评论区留言，点赞最高的10条评论将获得妆奁套盒一份。另外【转发+评论】抽1000位花伴送眉笔，再次祝大家双节快乐～,,,花西子Florasis,我有一个梦想,0,0,61165,2023-09-28 23:58,iPhone客户端,,,4950979764290708
4951095632462655,NlrejakEf,3623794104,是路西卡卡,#花西子得力#其实尊嘟没必要……花西子也挺惨的毕竟把家底都掏给➕7了,,,,花西子 得力,0,0,0,2023-09-28 23:57,iPhone客户端,,,
4951095592880352,Nlrefc5ji,7482674992,阿秀钦心啊融,#花西子#我拿重量衡量眉笔关你屁事啊，我的钱我该选择什么标准花关你屁事啊，消费者能不能别老被pua,,,,花西子,0,1,0,2023-09-28 23:57,vivo Z6 5G性能先锋,,,
4950646879686566,NlfyvEDUW,7575030448,白鹿视频,【#怎么看待得力文具回怼花西子#？】#花西子得力#9月26日，@花西子Florasis在微博发布评论称“真的有人会拿克重去衡量眉笔的价值吗？”并用买2B铅笔和自动铅笔来做案例进行比较。随后便引发文具品牌的关注，得力文具在社交平台回怼：“我，得力文具，6岁零216个月的本土娃娃，若有一款活动铅笔，10块3支装，外加60支替芯。敢问阁下，如何应对？”；晨光文具在官方旗舰店直播时，主播把“不贵”写在脸上，并举着带有“自动铅笔真不贵！”字样的手写牌。网友调侃：#花西子引发的泼天的富贵要到文具届了#。@白鹿视频L白鹿视频的微博视频,,,"花西子Florasis,白鹿视频","怎么看待得力文具回怼花西子,花西子 得力,花西子引发的泼天的富贵要到文具届了",131,339,16610,2023-09-27 18:14,微博视频号,,"http://f.video.weibocdn.com/o0/sGWbROcvlx088VWROyVG01041200bupv0E010.mp4?label=mp4_720p&template=720x1556.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1696958819&ssig=uDNfWTWA%2B6&KID=unistore,video",
4951095334405587,NlrdPiu5R,7329644635,2023行动力很强的我,哈哈哈哈哈花西子的鬼才公关//@橘粒芽丶:文具业:怎么还有送上门的,,,橘粒芽丶,,0,0,16610,2023-09-28 23:56,iPhone客户端,,,4950646879686566
4951095035040923,Nlrdll9nd,5247942275,也是醉了-,#她推了西娘娘#清代赵翼这样评价：“（花西子）天生健笔一枝,,,,她推了西娘娘,0,0,6,2023-09-28 23:55,iQOO 7 全感操控,,,
4951094930443591,Nlrdb1RoH,7186460404,吃鸡蛋不吃鸡蛋黄ux,花西子唇膜配享太庙,,,,,0,0,0,2023-09-28 23:54,iPhone客户端,,,
