id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4947834744081514,Nk4oOh7MS,7809432528,黑化liar行将就木版,#花西子发声#,,,,花西子发声,0,0,1,2023-09-19 23:59,赵泳鑫家的废话小天才,,,
4947834686933843,Nk4oIt5Ob,6040546878,凌肖的胸毛,#花西子发声#好厉害的空瓶,,,,花西子发声,0,0,0,2023-09-19 23:59,华为手机 畅享玩不停,,,
4947752490635426,Nk2g92FiO,6336556296,花西子Florasis,有奖征集！送礼盒和眉笔！【转发】即可参与～大家近期的支持与建议，小西都收到了～为更好地服务大家，我们将抽100位送美妆礼盒，另外再抽10000人来体验我们的眉笔，诚恳地向大家征集使用反馈。9月23日-9月24日陆续开奖！#花西子发声#,,,,花西子发声,294355,85780,85794,2023-09-19 18:33,微博网页版,['https://wx3.sinaimg.cn/large/006UPxKUly1hi22mjmgj6j30ku0rsn38.jpg'],,
4947834682739991,Nk4oIbuNp,5242930013,w和y阿,希望花西子有这样的事情后，能积极改正，争取做一个被大家认可的国货,,,,,0,0,85794,2023-09-19 23:59,iPhone客户端,,,4947752490635426
4947834661506490,Nk4oG6jUe,3885592898,歌在唱舞在跳长夜漫漫不觉晓,避重就轻随便讲两句因为热度快下去了，赶紧再蹭一蹭#花西子发声#,,,,花西子发声,0,0,1,2023-09-19 23:59,iPhone客户端,,,
4947834656788300,Nk4oFstWI,7455660280,迟日野院,#花西子发声#一点用都没有,,,,花西子发声,0,0,1,2023-09-19 23:59,心好为你写的情诗,,,
4947834647349224,Nk4oEuPRS,5492777830,FYT_0507,#花西子发声#抱着支持国货的心里，这几年用的空气蜜粉（确实好用），眉笔，睫毛膏都是你家的。李佳琪这话一出来开始心疼我的钱了,,,,花西子发声,0,0,1,2023-09-19 23:59,OPPO Reno2,,,
4947681836796110,Nk0qbsvYG,1420849630,刘新征,我前两天还说。。。果然是有人把成本给公布了，不光是花西子，化妆品都是这个成本结构，包括海外大牌。所不同的，无非是给李佳琦的钱以前是给媒体，给平台，给商超，给代理商的。看到网红博主在那分析成分，谈创新，煞有介事，我都想笑，但凡跨界看下化妆品上市公司的财报，你就知道研发费用就没有超过营业额2%的。你会想，每69元里就有1元是研发费用，也不低了吧？但是，分母可不是69哦，分母是7元，也就是出厂价。也就是说研发费用是7元的2%，你69元的化妆品只有1分钱是做研发的。而且，你以为研发费用都是用来做皮肤试验的吗？不不不，换个新包装，设计个新瓶子，都算研发费用，当然研发部门人员的薪酬，差旅什么的也算是研发费用，研发总监工资翻了倍，提现在财报上，就是研发费用大幅上升了。。。千万不要说，只有国产品牌才这样，国外的化妆品上市公司更多，你去看看财报有哪个不是这样的？当然不同的是，你品牌强大的话，你和我成本价7元，在卖给一级经销商的时候，你能卖出多少钱。花西子这样的，基本就是7元生产出来，7.1元卖给了李佳琦，李佳琦69元卖给了你。这算好的，很多小品牌，成本7元，5元卖给李佳琦，李佳琦69元卖给你。你说这小品牌傻吗？不傻，因为李佳琦卖过，相当于在这个领域被开过光了，他就可以以30元的价格卖给另外一个经销商，或者自营以79元的价格来卖，然后拿这部分盈利，来补李佳琦的亏空。。。不管你愿不愿意，世界它都是这么运作的。我不是反对女性用化妆品护肤品啊，我一个男的也要买抹脸的啊，而且我就是知道我买的这个上百块的抹脸霜，成本大概就是20元以内，其中瓶子和盒子占一半，最不值钱的部分，就是那堆膏状体。我不还是得用吗？？？,,,,,7200,42,12823,2023-09-19 13:52,vivo X80 Pro,['https://wx1.sinaimg.cn/large/54b071degy1hi1tpmk8mjj20j60tydij.jpg'],,
4947834643154505,Nk4oEdeD7,6126848023,Louis_Meow,//@洛梅笙:所以说李佳琦就是国贼，他打着帮助国货，给消费者争取最惠的旗号，实际上是对实业和消费者的两头吸血，有些人也别说李佳琦或花西子谁更冤，他们就是一个利益链的共同体。至于李佳琦的脑残粉为什么至今对他劫富济贫的说法深信不疑，应该跟耽粉催眠一样的“女权”就是个遮羞布,,,洛梅笙,,0,0,12823,2023-09-19 23:59,微博轻享版,,,4947681836796110
4947834635553789,Nk4oDniNf,6025555768,冯小妹sunshine,国货之花西子，从来没用过啊哈哈哈哈哈哈😂只觉得雕刻很好看艺术品一样,,,,,0,0,85794,2023-09-19 23:59,iPhone客户端,,,4947752490635426
