parent_comment_id,comment_id,comment_time,comment_location,comment_user_name,comment_user_link,comment_content,comment_like_num,child_comment_num
,c4947810976012649,2023-09-19 22:25:25,来自浙江,花西子Florasis,https://weibo.com//u/6336556296,"谢谢大家的声音，花西子准备了一万份“花西币”和100份礼盒，免费给大家体验，征集使用体验。感兴趣的朋友可以看看这里：<a target=""_blank"" href=""https://weibo.com/6336556296/4947752490635426""><img class=""icon-link"" src=""https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_weibo_default.png""/>微博正文</a>",8092,608
c4947810976012649,c4955096742364588,2023-10-10 00:56:27,来自吉林,兔年大吉嘿嘿嘿,https://weibo.com//u/7313125314,"<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />",0,0
c4947810976012649,c4954882191134019,2023-10-09 10:43:54,来自湖南,小明同学19-20,https://weibo.com//u/7733183439,"回复<a href=/n/欢乐甜崽 usercard=""name=@欢乐甜崽"">@欢乐甜崽</a>:<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />6",1,0
c4947810976012649,c4954277522703195,2023-10-07 18:41:10,来自福建,许vvv,https://weibo.com//u/5659615315,好的,0,0
c4947810976012649,c4953819529349995,2023-10-06 12:21:16,来自四川,欧皇凯歌,https://weibo.com//u/7493819606,"<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />",0,0
c4947810976012649,c4953660314616096,2023-10-06 01:48:36,来自北京,麻辣椒香土豆块儿,https://weibo.com//u/7782695219,扣死了,0,0
c4947810976012649,c4953526965111059,2023-10-05 16:58:43,来自云南,云朵味的汽水呐,https://weibo.com//u/7333213233,"<img alt=""[羞嗒嗒]"" title=""[羞嗒嗒]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/df/lxhxiudada_org.gif"" />",0,0
c4947810976012649,c4952531883264103,2023-10-02 23:04:37,来自江苏,lyf的圈外好友,https://weibo.com//u/6568424966,"<img alt=""[七时吉祥]"" title=""[七时吉祥]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/fc/2023_loveyouseventimes_org.png"" /><img alt=""[七时吉祥]"" title=""[七时吉祥]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/fc/2023_loveyouseventimes_org.png"" />",0,0
c4947810976012649,c4952434910430174,2023-10-02 16:39:17,来自山东,开心咕噜崽,https://weibo.com//u/5580242119,，,0,0
c4947810976012649,c4952169377434709,2023-10-01 23:04:09,来自辽宁,小夭往哪里逃,https://weibo.com//u/7791983569,"<img alt=""[抱抱]"" title=""[抱抱]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/42/2018new_baobao_org.png"" />",0,0
c4947810976012649,c4952154999361679,2023-10-01 22:07:01,来自湖北,不会飞的鸟-Joe,https://weibo.com//u/7622187833,故意不抽我是吧！我yue了,1,0
c4947810976012649,c4951966770791409,2023-10-01 09:39:04,来自重庆,请叫我小仙女33,https://weibo.com//u/2547831687,"<img alt=""[抱抱]"" title=""[抱抱]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/42/2018new_baobao_org.png"" />",0,0
c4947810976012649,c4951834633702701,2023-10-01 00:54:00,来自天津,少冰海盐荔枝无糖气泡水,https://weibo.com//u/6710026861,"<img alt=""[哇]"" title=""[哇]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/3d/2022_wow_org.png"" />",0,0
c4947810976012649,c4951313567974216,2023-09-29 14:23:28,来自云南,峰锋风风,https://weibo.com//u/6779837686,还真不缺也不稀罕,0,0
c4947810976012649,c4951296416418723,2023-09-29 13:15:19,来自四川,你是对的oo,https://weibo.com//u/5651892544,需要79花西币吗,0,0
c4947810976012649,c4951296399640152,2023-09-29 13:15:15,来自广东,o路人丶,https://weibo.com//u/5762318513,"回复<a href=/n/听雨126456 usercard=""name=@听雨126456"">@听雨126456</a>:头部主播赚的最多",0,0
c4947810976012649,c4950968426038735,2023-09-28 15:32:00,来自江苏,Wenttttt,https://weibo.com//u/7264736528,假的,0,0
c4947810976012649,c4950678834254287,2023-09-27 20:21:16,来自山东,小妞妞KQ去看戏,https://weibo.com//u/2673862073,可别装了,0,0
c4947810976012649,c4950624971787784,2023-09-27 16:47:14,来自四川,佚书-,https://weibo.com//u/6376703020,"花西币真牛逼了。自己单独的货币吗<img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" />",0,0
c4947810976012649,c4950583657107624,2023-09-27 14:03:04,来自广东,是小林同学呀01,https://weibo.com//u/7474726406,"回复<a href=/n/锐界中的魔仙堡 usercard=""name=@锐界中的魔仙堡"">@锐界中的魔仙堡</a>:79w",1,0
c4947810976012649,c4950367524880879,2023-09-26 23:44:14,来自湖南,是满天星咯,https://weibo.com//u/7749211219,之前就一直用过花西子的产品，自己之前用过，家里人也用。,0,0
c4947810976012649,c4950295270920396,2023-09-26 18:57:07,来自宁夏,Ayeisha_楠,https://weibo.com//u/5450293762,"回复<a href=/n/锐界中的魔仙堡 usercard=""name=@锐界中的魔仙堡"">@锐界中的魔仙堡</a>:79万",0,0
c4947810976012649,c4949833447902054,2023-09-25 12:22:00,来自江西,泰迪熊iv,https://weibo.com//u/6518253421,"<img alt=""[good]"" title=""[good]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_good_org.png"" />",0,0
c4947810976012649,c4949626866111642,2023-09-24 22:41:07,来自江苏,偶米伽不孤单nq5,https://weibo.com//u/6109793862,"回复<a href=/n/欢乐甜崽 usercard=""name=@欢乐甜崽"">@欢乐甜崽</a>:这也洗？",0,0
c4947810976012649,c4949594309395291,2023-09-24 20:31:44,来自贵州,战火小熊猫,https://weibo.com//u/5888238064,没看到诚意,0,0
c4947810976012649,c4949559127834864,2023-09-24 18:11:56,来自上海,你还记得五道口的海鲜面吗,https://weibo.com//u/1586398372,好,0,0
c4947810976012649,c4949488499428740,2023-09-24 13:31:18,来自河北,改个昵称真难2,https://weibo.com//u/6029201567,啊，不会都抽不到吧,0,0
c4947810976012649,c4948913247225696,2023-09-22 23:25:27,来自浙江,红太郎的麻麻,https://weibo.com//u/2461223802,一百分？太没诚意了,0,0
c4947810976012649,c4948885971404325,2023-09-22 21:37:04,来自江苏,是樱宁呀,https://weibo.com//u/7478196301,"一直以来都蛮看好花西子的，就是没想到眉笔的价格与之前相差那么大<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",0,0
c4947810976012649,c4948871723880505,2023-09-22 20:40:27,来自福建,米伊美奥菲斯,https://weibo.com//u/7291426513,"回复<a href=/n/原来你在这里等我呀 usercard=""name=@原来你在这里等我呀"">@原来你在这里等我呀</a>:985元吧……一克985",0,0
